event_id,game_id,inning,batting_team_id,home_away,outs,balls,strikes,pitch_sequence,away_score,home_score,batter_id,batter_hand,responsible_batter_id,responsible_batter_hand,batter_lineup_position,batter_fielding_position,pitcher_id,pitcher_hand,responsible_pitcher_id,responsible_pitcher_hand,fielder_2_id,fielder_3_id,fielder_4_id,fielder_5_id,fielder_6_id,fielder_7_id,fielder_8_id,fielder_9_id,runner_1_id,runner_2_id,runner_3_id,event_text,event_code,event_outs,ab_flag,hit_code,rbi,leadoff_flag,pinch_hit_flag,sacrifice_hit_flag,sacrifice_fly_flag,double_play_flag,triple_play_flag,wild_pitch_flag,passed_ball_flag,bunt_flag,foul_flag,batted_ball_code,batted_ball_location,fielding_code,errors,error_1_fielder,error_1_type,error_2_fielder,error_2_type,error_3_fielder,error_3_type,batter_dest,runner_1_dest,runner_2_dest,runner_3_dest,runner_1_stolen_base,runner_2_stolen_base,runner_3_stolen_base,runner_1_caught_stealing,runner_2_caught_stealing,runner_3_caught_stealing,batter_play_text,runner_1_play_text,runner_2_play_text,runner_3_play_text,putout_1_fielder,putout_2_fielder,putout_3_fielder,assist_1_fielder,assist_2_fielder,assist_3_fielder,assist_4_fielder,assist_5_fielder,game_new_flag,game_end_flag,created_at
15629367,NYA202305140,3,TBA,H,0,1,2,FFFBX,3,0,volpa001,R,volpa001,R,7,6,efliz001,R,efliz001,R,bethc001,parei001,loweb001,wallt003,franw002,arozr001,sirij001,lowej002,,,,S1/L4MS,20,0,T,1,0,T,F,F,F,F,F,F,F,F,F,L,4MS,1,0,0,,0,,0,,1,0,0,0,F,F,F,F,F,F,"","","","",0,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629381,NYA202305140,4,TBA,H,1,1,2,CF>F*BS,3,4,volpa001,R,volpa001,R,7,6,efliz001,R,efliz001,R,bethc001,parei001,loweb001,wallt003,franw002,arozr001,sirij001,lowej002,badeh001,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,1,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629409,NYA202305140,7,TBA,H,0,2,2,.CBBSC,8,4,volpa001,R,volpa001,R,7,6,pochc001,L,pochc001,L,bethc001,parei001,loweb001,wallt003,franw002,arozr001,sirij001,lowej002,,,,K,3,1,T,0,0,T,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629422,NYA202305140,8,TBA,H,2,1,1,BCX,8,5,volpa001,R,volpa001,R,7,6,kellt002,R,kellt002,R,bethc001,parei001,loweb001,wallt003,franw002,arozr001,sirij001,lowej002,badeh001,,,HR/F7D.1-H,23,0,T,4,2,F,F,F,F,F,F,F,F,F,F,F,7D,0,0,0,,0,,0,,4,4,0,0,F,F,F,F,F,F,"","","","",0,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629445,NYA202305230,2,BAL,H,1,2,1,1BBFX,2,0,volpa001,R,volpa001,R,7,6,bradk001,R,bradk001,R,rutsa001,mounr001,fraza001,hendg002,matej003,haysa001,mullc002,vavrt001,badeh001,,,43/G34.1-2,2,1,T,0,0,F,F,F,F,F,F,F,F,F,F,G,34,4,0,0,,0,,0,,0,2,0,0,F,F,F,F,F,F,43,"","","",3,0,0,4,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629462,NYA202305230,4,BAL,H,1,3,2,BBFCFBX,4,1,volpa001,R,volpa001,R,7,6,bradk001,R,bradk001,R,rutsa001,mounr001,fraza001,hendg002,matej003,haysa001,mullc002,vavrt001,,,,8/F8XD,2,1,T,0,0,F,F,F,F,F,F,F,F,F,F,F,8XD,8,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,8,"","","",8,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629481,NYA202305230,6,BAL,H,0,2,2,..BBCCFS,5,4,volpa001,R,volpa001,R,7,6,givem001,R,givem001,R,rutsa001,mounr001,fraza001,hendg002,matej003,haysa001,mullc002,mcker001,,,,K,3,1,T,0,0,T,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629496,NYA202305230,8,BAL,H,1,1,2,CCBFS,5,4,volpa001,R,volpa001,R,7,6,canoy001,R,canoy001,R,rutsa001,mounr001,fraza001,hendg002,matej003,haysa001,mullc002,mcker001,,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629512,NYA202305230,10,BAL,H,1,0,0,X,5,5,volpa001,R,volpa001,R,7,6,bakeb001,R,bakeb001,R,rutsa001,mounr001,fraza001,hendg002,matej003,haysa001,mullc002,mcker001,calhw001,,kinei001,8/SF/F8XD.3-H(UR),2,1,F,0,1,F,F,F,T,F,F,F,F,F,F,F,8XD,8,0,0,,0,,0,,0,1,0,7,F,F,F,F,F,F,8,"","","",8,0,0,0,0,0,0,0,F,T,2026-01-21 17:01:53.227175
15629530,NYA202305240,3,BAL,H,0,0,1,CX,0,0,volpa001,R,volpa001,R,7,6,wellt003,R,wellt003,R,mccaj001,mounr001,fraza001,ortij005,matej003,haysa001,mullc002,santa003,,,,53/G56,2,1,T,0,0,T,F,F,F,F,F,F,F,F,F,G,56,5,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,53,"","","",3,0,0,5,0,0,0,0,F,F,2026-01-21 17:01:53.227175
